sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"CA_NT-HC_1867","06nov1867","08jul1872","NT","CA",NA,1,"House of Commons","HC",NA,NA,"CA_NT-HC_1873",181,"07aug1867","regular"
"CA_NT-HC_1873","05mar1873","02jan1874","NT","CA",NA,2,"House of Commons","HC",NA,"CA_NT-HC_1867","CA_NT-HC_1874",200,"15jul1872","regular"
"CA_NT-HC_1874","26mar1874","17aug1878","NT","CA",NA,3,"House of Commons","HC",NA,"CA_NT-HC_1873","CA_NT-HC_1879",206,"22jan1874","early"
"CA_NT-HC_1879","13feb1879","18may1882","NT","CA",NA,4,"House of Commons","HC",NA,"CA_NT-HC_1874","CA_NT-HC_1883",206,"17sep1878","regular"
"CA_NT-HC_1883","08feb1883","15jan1887","NT","CA",NA,5,"House of Commons","HC",NA,"CA_NT-HC_1879","CA_NT-HC_1887",211,"20jun1882","regular"
"CA_NT-HC_1887","13apr1887","03feb1891","NT","CA",NA,6,"House of Commons","HC",NA,"CA_NT-HC_1883","CA_NT-HC_1891",215,"22feb1887","regular"
"CA_NT-HC_1891","29apr1891","24apr1896","NT","CA",NA,7,"House of Commons","HC",NA,"CA_NT-HC_1887","CA_NT-HC_1896",215,"05mar1891","regular"
"CA_NT-HC_1896","19aug1896","09oct1900","NT","CA",NA,8,"House of Commons","HC",NA,"CA_NT-HC_1891","CA_NT-HC_1901",213,"23jun1896","regular"
"CA_NT-HC_1901","06feb1901","29sep1904","NT","CA",NA,9,"House of Commons","HC",NA,"CA_NT-HC_1896","CA_NT-HC_1905",213,"07nov1900","regular"
"CA_NT-HC_1905","11jan1905","17sep1908","NT","CA",NA,10,"House of Commons","HC",NA,"CA_NT-HC_1901","CA_NT-HC_1909",214,"03nov1904","regular"
"CA_NT-HC_1909","20jan1909","29jul1911","NT","CA",NA,11,"House of Commons","HC",NA,"CA_NT-HC_1905","CA_NT-HC_1911",221,"26oct1908","regular"
"CA_NT-HC_1911","15nov1911","06oct1917","NT","CA",NA,12,"House of Commons","HC",NA,"CA_NT-HC_1909","CA_NT-HC_1918",221,"21sep1911","regular"
"CA_NT-HC_1918","18mar1918","04oct1921","NT","CA",NA,13,"House of Commons","HC",NA,"CA_NT-HC_1911","CA_NT-HC_1922",235,"17dec1917","regular"
"CA_NT-HC_1922","08mar1922","05sep1925","NT","CA",NA,14,"House of Commons","HC",NA,"CA_NT-HC_1918","CA_NT-HC_1926jan",235,"06dec1921","regular"
"CA_NT-HC_1926jan","07jan1926","02jul1926","NT","CA",NA,15,"House of Commons","HC",NA,"CA_NT-HC_1922","CA_NT-HC_1926dec",245,"29oct1925","regular"
"CA_NT-HC_1926dec","09dec1926","30may1930","NT","CA",NA,16,"House of Commons","HC",NA,"CA_NT-HC_1926jan","CA_NT-HC_1930",245,"14sep1926","early"
"CA_NT-HC_1930","08sep1930","14aug1935","NT","CA",NA,17,"House of Commons","HC",NA,"CA_NT-HC_1926dec","CA_NT-HC_1936",245,"28jul1930","regular"
"CA_NT-HC_1936","06feb1936","25jan1940","NT","CA",NA,18,"House of Commons","HC",NA,"CA_NT-HC_1930","CA_NT-HC_1940",245,"14oct1935","regular"
"CA_NT-HC_1940","16may1940","16apr1945","NT","CA",NA,19,"House of Commons","HC",NA,"CA_NT-HC_1936","CA_NT-HC_1945",245,"26mar1940","regular"
"CA_NT-HC_1945","06sep1945","30apr1949","NT","CA",NA,20,"House of Commons","HC",NA,"CA_NT-HC_1940","CA_NT-HC_1949",245,"11jun1945","regular"
"CA_NT-HC_1949","15sep1949","13jun1953","NT","CA",NA,21,"House of Commons","HC",NA,"CA_NT-HC_1945","CA_NT-HC_1953",262,"27jun1949","regular"
"CA_NT-HC_1953","12nov1953","12apr1957","NT","CA",NA,22,"House of Commons","HC",NA,"CA_NT-HC_1949","CA_NT-HC_1957",265,"10aug1953","regular"
"CA_NT-HC_1957","14oct1957","01feb1958","NT","CA",NA,23,"House of Commons","HC",NA,"CA_NT-HC_1953","CA_NT-HC_1958",265,"10jun1957","regular"
"CA_NT-HC_1958","12may1958","19apr1962","NT","CA",NA,24,"House of Commons","HC",NA,"CA_NT-HC_1957","CA_NT-HC_1962",265,"31mar1958","early"
"CA_NT-HC_1962","27sep1962","06feb1963","NT","CA",NA,25,"House of Commons","HC",NA,"CA_NT-HC_1958","CA_NT-HC_1963",265,"18jun1962","regular"
