sep=,
"pers_id","id_ca_parlinfo","last_name","first_name","gender","birth_date","death_date","birth_place_raw","wikidata_id","wikipedia_en","wikipedia_fr","twitter_screen_name","twitter_id","parlinfo_is_mp","parlinfo_is_senator","parlinfo_party","parlinfo_constituency","parlinfo_occupation","parlinfo_language"
"CA_MacLellan_Robert_1925","1","MacLellan","Robert-Simpson","m","02jul1925","15jan2011","Sydney, Nova Scotia, Canada","Q7347232","Robert_MacLellan_(politician,_born_1925)",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Inverness--Richmond","lawyer",NA
"CA_Keefler_Thomas_1824","2","Keefler","Thomas-Twining","m","26mar1824","16nov1906","Halifax, Nova Scotia, Canada","Q7794612","Thomas_Twining_Keefler",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Lunenburg","merchant",NA
"CA_Beaubien_Arthur_1879","7","Beaubien","Arthur-Lucien","m","11feb1879","21mar1971","Arthabaska, Quebec, Canada","Q2864958","Arthur-Lucien_Beaubien","Arthur-Lucien_Beaubien",NA,NA,TRUE,TRUE,"Liberal Party of Canada; Liberal Progressive; Progressive","Provencher","farmer",NA
"CA_Chipman_William_1807","10","Chipman","William-Henry","m","03nov1807","10apr1870","Cornwallis, Nova Scotia, Canada","Q15053814","William_Henry_Chipman",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada; Anti-Confederate","Kings","merchant",NA
"CA_Pennell_Lawrence_1915","11","Pennell","Lawrence-T","m","11mar1915","09aug2008","Brantford, Ontario, Canada","Q1809243","Lawrence_Pennell","Lawrence_Pennell",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Brant--Haldimand","lawyer",NA
"CA_Chabot_Benoit_1911","16","Chabot","Benoit","m","13feb1911","20jul2006","Plaisance, Quebec, Canada","Q2896455","Benoît_Chabot","Benoît_Chabot",NA,NA,TRUE,FALSE,"Independent","Kamouraska","newspaper dealer, sales agent",NA
"CA_Fitzpatrick_Charles_1851","17","Fitzpatrick","Charles","m","19dec1851","17jun1942","Québec, Canada East","Q443059","Charles_Fitzpatrick","Charles_Fitzpatrick",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Quebec County","professor of criminal law, crown prosecutor, lawyer, judge",NA
"CA_Nugent_Terence_1920","30","Nugent","Terence-James","m","09dec1920","13apr2006","Taber, Alberta, Canada","Q7704858","Terry_Nugent",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Edmonton--Strathcona","barrister, lawyer",NA
"CA_Bhaduria_Jag_1940","32","Bhaduria","Jag","m","23jan1940",NA,"New Dehli, India","Q6122010","Jag_Bhaduria",NA,NA,NA,TRUE,FALSE,"Liberal Democrat; Independent Liberal; Liberal Party of Canada","Markham--Whitchurch--Stouffville","management consultant",NA
"CA_Patterson_James_1884","37","Patterson","James-Edward-Jack","m","02jul1884","21jul1964","Salisbury, New Brunswick, Canada","Q3161054","Jack_Patterson_(Canadian_politician)","James_Edward_Jack_Patterson",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Victoria--Carleton","farmer, land surveyor, civil engineer",NA
