"pers_id","id_no_storting","last_name","first_name","gender","birth_date","death_date","n_periods","periods_served","first_period","last_period","n_parties","parties_id","parties_name","ever_substitute","county_id","county_name","wikidata_id","wikipedia_no","wikipedia_en"
"NO_Aall_Arnfrid_1938","AAA","Aall","Arnfrid","f","19oct1938",NA,1,"1993-97","1993-97","1993-97",1,"H","Høyre",TRUE,"AA","Aust-Agder",NA,NA,NA
"NO_Aas_Aage-Roar_1946","AAAA","Aas","Aage-Roar","m","05jan1946",NA,1,"1989-93","1989-93","1989-93",1,"KrF","Kristelig Folkeparti",TRUE,"MR","Møre og Romsdal",NA,NA,NA
"NO_Aarebrodt_Alice_1986","AAAR","Aarebrodt","Alice","f","25jul1986",NA,1,"2017-2021","2017-2021","2017-2021",1,"H","Høyre",TRUE,"Os","Oslo",NA,NA,NA
"NO_Baar_Anton-Andreas_1910","AAB","Baar","Anton Andreas","m","02sep1910","26feb1975",1,"1958-61","1958-61","1958-61",1,"A","Arbeiderpartiet",TRUE,"Te","Telemark",NA,NA,NA
"NO_Bergvin_Aase_1921","AABE","Bergvin","Aase","f","09apr1921","03aug1988",1,"1973-77","1973-77","1973-77",1,"KrF","Kristelig Folkeparti",TRUE,"NT","Nord-Trøndelag",NA,NA,NA
"NO_Bakke-Hansen_Aagot_1903","AABH","Bakke Hansen","Aagot","f","07may1903","19jul1979",1,"1954-57","1954-57","1954-57",1,"A","Arbeiderpartiet",TRUE,"Ve","Vestfold",NA,NA,NA
"NO_Bjerkholt_Aase_1915","AABJ","Bjerkholt","Aase","f","16jan1915","16aug2012",4,"1958-61; 1961-65; 1965-69; 1969-73","1958-61","1969-73",1,"A","Arbeiderpartiet",TRUE,"Os","Oslo","Q4576070","Aase_Bjerkholt","Aase_Bjerkholt"
"NO_Borge_Aagot_1902","AABO","Borge","Aagot","f","08mar1902","18oct1979",2,"1954-57; 1958-61","1954-57","1958-61",1,"V","Venstre",TRUE,"Be","Bergen",NA,NA,NA
"NO_Drolsum_Aasmund_1962","AADR","Drolsum","Aasmund","m","20jan1962",NA,1,"1989-93","1989-93","1989-93",1,"H","Høyre",TRUE,"Op","Oppland",NA,NA,NA
"NO_Fyhn_Anna-Amdal_1946","AAF","Fyhn","Anna Amdal","f","14sep1946",NA,1,"2001-2005","2001-2005","2001-2005",1,"H","Høyre",TRUE,"Tr","Troms","Q17061413","Anna_Amdal_Fyhn","NA"
"NO_Falch_Aase_1934","AAFA","Falch","Aase","f","09nov1934",NA,2,"1981-85; 1985-89","1981-85","1985-89",1,"A","Arbeiderpartiet",TRUE,"No","Nordland",NA,NA,NA
"NO_Guthormsen_Aagot-Gjems_1890","AAGU","Guthormsen","Aagot Gjems","f","22oct1890","15dec1976",1,"1954-57","1954-57","1954-57",1,"H","Høyre",TRUE,"Bu","Buskerud",NA,NA,NA
"NO_Henmo_Aashild_1901","AAHE","Henmo","Aashild","f","14may1901","17jul1994",1,"1958-61","1958-61","1958-61",1,"H","Høyre",TRUE,"ST","Sør-Trøndelag",NA,NA,NA
"NO_Helland-Olsen_Aud-Agnes_1938","AAHO","Helland-Olsen","Aud Agnes","f","09aug1938",NA,1,"1985-89","1985-89","1985-89",1,"A","Arbeiderpartiet",TRUE,"VA","Vest-Agder",NA,NA,NA
"NO_Kulien_Aasmund_1893","AAKU","Kulien","Aasmund","m","04may1893","18oct1988",2,"1945-49; 1950-53","1945-49","1950-53",1,"A","Arbeiderpartiet",FALSE,"VA","Vest-Agder","Q4662739","Aasmund_Kulien","Aasmund_Kulien"
"NO_Alfredsen_Arild_1942","AAL","Alfredsen","Arild","m","11feb1942",NA,1,"2005-2009","2005-2009","2005-2009",1,"A","Arbeiderpartiet",TRUE,"Ve","Vestfold",NA,NA,NA
"NO_Lionaes_Aase_1907","AALI","Lionæs","Aase","f","10apr1907","02jan1999",6,"1954-57; 1958-61; 1961-65; 1965-69; 1969-73; 1973-77","1954-57","1973-77",1,"A","Arbeiderpartiet",TRUE,"Os","Oslo","Q4216656","Aase_Lionæs","Aase_Lionæs"
"NO_Kimestad_Aase-Lill_1955","AALK","Kimestad","Åse Lill","f","16aug1955",NA,3,"1989-93; 1993-97; 2001-2005","1989-93","2001-2005",1,"A","Arbeiderpartiet",TRUE,"VA","Vest-Agder","Q8077235","Åse_Lill_Kimestad","Åse_Lill_Kimestad"
"NO_Haga_Aaslaug_1959","AAMH","Haga","Åslaug","f","21oct1959",NA,2,"2001-2005; 2005-2009","2001-2005","2005-2009",1,"Sp","Senterpartiet",FALSE,"Ak","Akershus","Q271279","Åslaug_Haga","Åslaug_Haga"
"NO_Moloekken_Aase_1930","AAMO","Moløkken","Aase","f","27apr1930","04jun2024",4,"1973-77; 1977-81; 1981-85; 1985-89","1973-77","1985-89",1,"A","Arbeiderpartiet",TRUE,"Bu","Buskerud","Q4662688","Aase_Moløkken","Aase_Moløkken"
"NO_Nyland_Aasmund_1892","AANY","Nyland","Aasmund","m","03apr1892","13nov1967",2,"1945-49; 1954-57","1945-49","1954-57",1,"KrF","Kristelig Folkeparti",TRUE,"Te","Telemark",NA,NA,NA
"NO_Prestegaard_Arnold-Andreas_1913","AAP","Prestegaard","Arnold Andreas","m","04jan1913","08jul2004",1,"1969-73","1969-73","1969-73",1,"A","Arbeiderpartiet",TRUE,"Ho","Hordaland",NA,NA,NA
"NO_Aaroeen_Aasta_1971","AAR","Årøen","Åsta","f","28sep1971",NA,1,"2013-2017","2013-2017","2013-2017",1,"V","Venstre",TRUE,"Ho","Hordaland","Q25426269","Åsta_Årøen","NA"
"NO_Rysstad_Aani-Aanisson_1894","AARY","Rysstad","Aani Aanisson","m","13jul1894","18dec1965",2,"1945-49; 1954-57","1945-49","1954-57",1,"A","Arbeiderpartiet",TRUE,"AA","Aust-Agder","Q4661583","Aani_Rysstad","Aani_Aanisson_Rysstad"
"NO_Saele_Anita-Apelthun_1951","AAS","Sæle","Anita Apelthun","f","13dec1951",NA,6,"1981-85; 1985-89; 1989-93; 1993-97; 1997-2001; 2001-2005","1981-85","2001-2005",1,"KrF","Kristelig Folkeparti",TRUE,"Ho","Hordaland","Q4765498","Anita_Apelthun_Sæle","Anita_Apelthun_Sæle"
"NO_Aasen-Svensrud_Maria_1980","AASE","Aasen-Svensrud","Maria","f","22feb1980",NA,4,"2013-2017; 2017-2021; 2021-2025; 2025-2029","2013-2017","2025-2029",1,"A","Arbeiderpartiet",TRUE,"Ve","Vestfold","Q38625388","Maria_Aasen-Svensrud","Maria_Aasen-Svensrud"
"NO_Gjestvang_Aasa_1971","AASG","Gjestvang","Aasa","f","25jan1971",NA,2,"2013-2017; 2017-2021","2013-2017","2017-2021",1,"Sp","Senterpartiet",TRUE,"He","Hedmark","Q17064178","Aasa_Gjestvang","NA"
"NO_Horrigmo_Aase-Marthe-J_1982","AASMHO","Horrigmo","Aase Marthe J.","f","11jul1982",NA,1,"2021-2025","2021-2025","2021-2025",1,"H","Høyre",TRUE,"VA","Vest-Agder","Q99968854","Aase_Marthe_Johansen_Horrigmo","Aase_Marthe_Horrigmo"
"NO_Simonsen_Aase_1962","AASS","Simonsen","Aase","f","01jul1962",NA,1,"2017-2021","2017-2021","2017-2021",1,"H","Høyre",TRUE,"Ro","Rogaland","Q17107262","Aase_Simonsen","Aase_Simonsen"
"NO_Grande_Arild_1978","AAST","Grande","Arild","m","05apr1978",NA,4,"2005-2009; 2009-2013; 2013-2017; 2017-2021","2005-2009","2017-2021",1,"A","Arbeiderpartiet",TRUE,"NT","Nord-Trøndelag","Q4591112","Arild_Grande","Arild_Stokkan-Grande"
"NO_Soegaard_Aage-William_1933","AASØ","Søgaard","Aage William","m","29dec1933","04may2010",1,"1969-73","1969-73","1969-73",1,"A","Arbeiderpartiet",TRUE,"He","Hedmark",NA,NA,NA
"NO_Austenaa_Arne_1938","AAU","Austenå","Arne","m","18feb1938","09apr2024",1,"2001-2005","2001-2005","2001-2005",1,"FrP","Fremskrittspartiet",TRUE,"AA","Aust-Agder","Q50215255","NA","NA"
"NO_Aukrust_Aasmund_1985","AAUK","Aukrust","Åsmund","m","28feb1985",NA,5,"2009-2013; 2013-2017; 2017-2021; 2021-2025; 2025-2029","2009-2013","2025-2029",1,"A","Arbeiderpartiet",TRUE,"Ak","Akershus","Q8077259","Åsmund_Aukrust","Åsmund_Grøver_Aukrust"
"NO_Waernes_Arnt-Ander_1940","AAW","Wærnes","Arnt Ander","m","17jul1940",NA,1,"2001-2005","2001-2005","2001-2005",1,"KrF","Kristelig Folkeparti",TRUE,"MR","Møre og Romsdal",NA,NA,NA
"NO_Andersen_Anne-Berit_1951","ABA","Andersen","Anne Berit","f","02dec1951",NA,3,"1997-2001; 2001-2005; 2005-2009","1997-2001","2005-2009",1,"H","Høyre",TRUE,"VA","Vest-Agder","Q4768164","Anne_Berit_Andersen","Anne_Berit_Andersen"
"NO_Bakkland_Alf_1971","ABAK","Bakkland","Alf","m","29jul1971",NA,1,"2009-2013","2009-2013","2009-2013",1,"A","Arbeiderpartiet",TRUE,"No","Nordland",NA,NA,NA
"NO_Bystadhagen_Anne-Barbro-Aglen_1962","ABB","Bystadhagen","Anne Barbro Aglen","f","24oct1962",NA,1,"2013-2017","2013-2017","2013-2017",1,"A","Arbeiderpartiet",TRUE,"VA","Vest-Agder",NA,NA,NA
"NO_Kroglund_Abel-Cecilie-Knibe_1972","ABCH","Kroglund","Abel Cecilie Knibe","f","05jul1972",NA,2,"2017-2021; 2021-2025","2017-2021","2021-2025",1,"A","Arbeiderpartiet",TRUE,"AA","Aust-Agder","Q64216803","NA","NA"
"NO_Doesen_Anton-Bjoern_1936","ABD","Døsen","Anton Bjørn","m","17may1936","04aug2018",1,"1965-69","1965-69","1965-69",1,"H","Høyre",TRUE,"SF","Sogn og Fjordane",NA,NA,NA
"NO_Bergland_Arne_1943","ABE","Bergland","Arne","m","22may1943",NA,2,"1997-2001; 2001-2005","1997-2001","2001-2005",1,"A","Arbeiderpartiet",TRUE,"Tr","Troms",NA,NA,NA
"NO_Endresen_Anja-Berggaard_1974","ABEN","Endresen","Anja Berggård","f","02mar1974",NA,1,"2013-2017","2013-2017","2013-2017",1,"V","Venstre",TRUE,"Ro","Rogaland","Q17057898","Anja_Berggård_Endresen","NA"
"NO_Bergsgaard_Arne_1886","ABER","Bergsgård","Arne","m","18apr1886","18jun1954",1,"1945-49","1945-49","1945-49",1,"V","Venstre",TRUE,"ST","Sør-Trøndelag","Q3435832","Arne_Bergsgård","Arne_Bergsgård"
"NO_Hannesson_Anne_1940","ABH","Hannesson","Anne","f","06oct1940",NA,1,"1989-93","1989-93","1989-93",1,"H","Høyre",TRUE,"Ak","Akershus",NA,NA,NA
"NO_Birkeland_Anne-Kari_1959","ABI","Birkeland","Anne Kari","f","03dec1959",NA,1,"2005-2009","2005-2009","2005-2009",1,"KrF","Kristelig Folkeparti",TRUE,"AA","Aust-Agder",NA,NA,NA
"NO_Raja_Abid_1975","ABIR","Raja","Abid","m","05nov1975",NA,5,"2009-2013; 2013-2017; 2017-2021; 2021-2025; 2025-2029","2009-2013","2025-2029",1,"V","Venstre",TRUE,"Ak","Akershus","Q4590497","Abid_Raja","Abid_Raja"
"NO_Lillehauge_Arvid-Bjarne_1944","ABL","Lillehauge","Arvid Bjarne","m","10feb1944",NA,1,"1985-89","1985-89","1985-89",1,"A","Arbeiderpartiet",TRUE,"SF","Sogn og Fjordane",NA,NA,NA
"NO_Mohamed_Abdisamed_1981","ABM","Mohamed","Abdisamed","m","02feb1981",NA,1,"2009-2013","2009-2013","2009-2013",1,"A","Arbeiderpartiet",TRUE,"Ak","Akershus",NA,NA,NA
"NO_Noroe_Anne-Britt_1955","ABN","Norø","Anne Britt","f","30oct1955",NA,1,"1997-2001","1997-2001","1997-2001",1,"H","Høyre",TRUE,"No","Nordland",NA,NA,NA
"NO_Navrestad_Anne-Brith_1947","ABNA","Navrestad","Anne Brith","f","04feb1947",NA,1,"1989-93","1989-93","1989-93",1,"H","Høyre",TRUE,"Ro","Rogaland",NA,NA,NA
"NO_Bohlin_Arild_1966","ABOH","Bohlin","Arild","m","16aug1966",NA,1,"1989-93","1989-93","1989-93",1,"FrP","Fremskrittspartiet",TRUE,"Te","Telemark",NA,NA,NA
"NO_Rodal_Anders-Bjarne_1935","ABR","Rodal","Anders Bjarne","m","26jan1935","01may2022",1,"1969-73","1969-73","1969-73",1,"A","Arbeiderpartiet",TRUE,"MR","Møre og Romsdal",NA,NA,NA
"NO_Braut_Arne_1950","ABRA","Braut","Arne","m","11oct1950",NA,1,"2001-2005","2001-2005","2001-2005",1,"Sp","Senterpartiet",TRUE,"ST","Sør-Trøndelag","Q4794542","Arne_Braut","Arne_Braut"
"NO_Breistein_Asbjoern_1965","ABRE","Breistein","Asbjørn","m","30jun1965",NA,1,"1989-93","1989-93","1989-93",1,"KrF","Kristelig Folkeparti",TRUE,"Ho","Hordaland",NA,NA,NA
"NO_Straatveit_Anne-Brit_1947","ABS","Stråtveit","Anne Brit","f","22apr1947",NA,1,"1997-2001","1997-2001","1997-2001",1,"KrF","Kristelig Folkeparti",FALSE,"VA","Vest-Agder","Q4768187","Anne_Brit_Stråtveit","Anne_Brit_Stråtveit"
"NO_Stuestoel_Abraham_1895","ABST","Stuestøl","Abraham","m","15apr1895","11may1960",1,"1954-57","1954-57","1954-57",1,"H","Høyre",TRUE,"VA","Vest-Agder","Q107640036","NA","NA"
"NO_Tunheim_Arne_1951","ABT","Tunheim","Arne","m","10jul1951",NA,1,"1997-2001","1997-2001","1997-2001",1,"V","Venstre",TRUE,"MR","Møre og Romsdal",NA,NA,NA
"NO_Abusland_Anja-Ninasdotter_1995","ABUANJ","Abusland","Anja Ninasdotter","f","25nov1995",NA,1,"2021-2025","2021-2025","2021-2025",1,"Sp","Senterpartiet",FALSE,"VA","Vest-Agder","Q108762730","Anja_Ninasdotter_Abusland","Anja_Ninasdotter_Abusland"
"NO_Byrknes_Astrid-Aarhus_1963","ABY","Byrknes","Astrid Aarhus","f","09apr1963",NA,3,"2009-2013; 2013-2017; 2021-2025","2009-2013","2021-2025",1,"KrF","Kristelig Folkeparti",TRUE,"Ho","Hordaland","Q11210873","Astrid_Aarhus_Byrknes","Astrid_Aarhus_Byrknes"
"NO_Chaudhry_Akhtar_1961","AC","Chaudhry","Akhtar","m","23jul1961",NA,3,"2001-2005; 2005-2009; 2009-2013","2001-2005","2009-2013",1,"SV","Sosialistisk Venstreparti",TRUE,"Os","Oslo","Q4566458","Akhtar_Chaudhry","Akhtar_Chaudhry"
