sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"US_NT-HR_1789","04mar1789","03mar1791","NT","US",NA,1,"House of Representatives","HR",NA,NA,"US_NT-HR_1791",65,NA,"regular"
"US_NT-SE_1789","04mar1789","03mar1791","NT","US",NA,1,"Senate","SE",NA,NA,"US_NT-SE_1791",26,NA,"regular"
"US_NT-HR_1791","04mar1791","03mar1793","NT","US",NA,2,"House of Representatives","HR",NA,"US_NT-HR_1789","US_NT-HR_1793",69,NA,"regular"
"US_NT-SE_1791","04mar1791","03mar1793","NT","US",NA,2,"Senate","SE",NA,"US_NT-SE_1789","US_NT-SE_1793",30,NA,"regular"
"US_NT-HR_1793","04mar1793","03mar1795","NT","US",NA,3,"House of Representatives","HR",NA,"US_NT-HR_1791","US_NT-HR_1795",105,NA,"regular"
"US_NT-SE_1793","04mar1793","03mar1795","NT","US",NA,3,"Senate","SE",NA,"US_NT-SE_1791","US_NT-SE_1795",30,NA,"regular"
"US_NT-HR_1795","04mar1795","03mar1797","NT","US",NA,4,"House of Representatives","HR",NA,"US_NT-HR_1793","US_NT-HR_1797",106,NA,"regular"
"US_NT-SE_1795","04mar1795","03mar1797","NT","US",NA,4,"Senate","SE",NA,"US_NT-SE_1793","US_NT-SE_1797",32,NA,"regular"
"US_NT-HR_1797","04mar1797","03mar1799","NT","US",NA,5,"House of Representatives","HR",NA,"US_NT-HR_1795","US_NT-HR_1799",106,NA,"regular"
"US_NT-SE_1797","04mar1797","03mar1799","NT","US",NA,5,"Senate","SE",NA,"US_NT-SE_1795","US_NT-SE_1799",32,NA,"regular"
"US_NT-HR_1799","04mar1799","03mar1801","NT","US",NA,6,"House of Representatives","HR",NA,"US_NT-HR_1797","US_NT-HR_1801",106,NA,"regular"
"US_NT-SE_1799","04mar1799","03mar1801","NT","US",NA,6,"Senate","SE",NA,"US_NT-SE_1797","US_NT-SE_1801",32,NA,"regular"
"US_NT-HR_1801","04mar1801","03mar1803","NT","US",NA,7,"House of Representatives","HR",NA,"US_NT-HR_1799","US_NT-HR_1803",106,NA,"regular"
"US_NT-SE_1801","04mar1801","03mar1803","NT","US",NA,7,"Senate","SE",NA,"US_NT-SE_1799","US_NT-SE_1803",34,NA,"regular"
"US_NT-HR_1803","04mar1803","03mar1805","NT","US",NA,8,"House of Representatives","HR",NA,"US_NT-HR_1801","US_NT-HR_1805",142,NA,"regular"
"US_NT-SE_1803","04mar1803","03mar1805","NT","US",NA,8,"Senate","SE",NA,"US_NT-SE_1801","US_NT-SE_1805",34,NA,"regular"
"US_NT-HR_1805","04mar1805","03mar1807","NT","US",NA,9,"House of Representatives","HR",NA,"US_NT-HR_1803","US_NT-HR_1807",142,NA,"regular"
"US_NT-SE_1805","04mar1805","03mar1807","NT","US",NA,9,"Senate","SE",NA,"US_NT-SE_1803","US_NT-SE_1807",34,NA,"regular"
