sep=,
"pers_id","id_us_bioguide","last_name","first_name","gender","birth_date","death_date","birth_place_raw","wikidata_id","wikipedia_en","twitter_screen_name","twitter_id"
"US_Bassett_Richard_1745","B000226","Bassett","Richard","m","02apr1745",NA,NA,"Q518823","Richard Bassett (Delaware politician)",NA,NA
"US_Bland_Theodorick_1742","B000546","Bland","Theodorick","m","21mar1742",NA,NA,"Q1749152","Theodorick Bland (congressman)",NA,NA
"US_Burke_Aedanus_1743","B001086","Burke","Aedanus","m","16jun1743",NA,NA,"Q380504","Aedanus Burke",NA,NA
"US_Carroll_Daniel_1730","C000187","Carroll","Daniel","m","22jul1730",NA,NA,"Q674371","Daniel Carroll",NA,NA
"US_Clymer_George_1739","C000538","Clymer","George","m","16mar1739",NA,NA,"Q708913","George Clymer",NA,NA
"US_Contee_Benjamin_9999","C000710","Contee","Benjamin","m",NA,NA,NA,"Q868334","Benjamin Contee",NA,NA
"US_Dalton_Tristram_1738","D000013","Dalton","Tristram","m","28may1738",NA,NA,"Q1365791","Tristram Dalton",NA,NA
"US_Elmer_Jonathan_1745","E000155","Elmer","Jonathan","m","29nov1745",NA,NA,"Q929830","Jonathan Elmer",NA,NA
"US_Few_William_1748","F000100","Few","William","m","08jun1748",NA,NA,"Q664099","William Few",NA,NA
"US_Floyd_William_1734","F000224","Floyd","William","m","17dec1734",NA,NA,"Q1381060","William Floyd",NA,NA
"US_Gale_George_1756","G000012","Gale","George","m","03jun1756",NA,NA,"Q1619320","George Gale (congressman)",NA,NA
"US_Grayson_William_9999","G000403","Grayson","William","m",NA,NA,NA,"Q471060","William Grayson",NA,NA
"US_Grout_Jonathan_1737","G000500","Grout","Jonathan","m","23jul1737",NA,NA,"Q1703183","Jonathan Grout",NA,NA
"US_Hawkins_Benjamin_1754","H000368","Hawkins","Benjamin","m","15aug1754",NA,NA,"Q2896102","Benjamin Hawkins",NA,NA
"US_Huntington_Benjamin_1736","H000995","Huntington","Benjamin","m","19apr1736",NA,NA,"Q581141","Benjamin Huntington",NA,NA
"US_Izard_Ralph_9999","I000053","Izard","Ralph","m",NA,NA,NA,"Q969896","Ralph Izard",NA,NA
"US_Johnson_William_1727","J000182","Johnson","William","m","07oct1727",NA,NA,"Q182543","William Samuel Johnson",NA,NA
"US_Johnston_Samuel_1733","J000198","Johnston","Samuel","m","15dec1733",NA,NA,"Q730149","Samuel Johnston",NA,NA
"US_Lee_Richard_1732","L000201","Lee","Richard","m","20jan1732",NA,NA,"Q725907","Richard Henry Lee",NA,NA
"US_Maclay_William_1737","M000031","Maclay","William","m","20jul1737",NA,NA,"Q442393","William Maclay (Pennsylvania politician, born 1737)",NA,NA
"US_Mathews_George_1739","M000234","Mathews","George","m","30aug1739",NA,NA,"Q887630","George Mathews (soldier)",NA,NA
"US_Morris_Robert_1734","M000985","Morris","Robert","m","20jan1734",NA,NA,"Q464876","Robert Morris (financier)",NA,NA
"US_Partridge_George_1740","P000092","Partridge","George","m","08feb1740",NA,NA,"Q1508042","George Partridge",NA,NA
"US_Paterson_William_1745","P000102","Paterson","William","m","24dec1745",NA,NA,"Q729054","William Paterson (judge)",NA,NA
"US_Smith_William_1728","S000624","Smith","William","m","12apr1728",NA,NA,"Q978343","William Smith (Maryland politician)",NA,NA
"US_Stone_Michael_9999","S000961","Stone","Michael","m",NA,NA,NA,"Q219505","Michael Jenifer Stone",NA,NA
"US_vanRensselaer_Jeremiah_1738","V000053","vanRensselaer","Jeremiah","m","27aug1738",NA,NA,"Q1687548","Jeremiah Van Rensselaer",NA,NA
"US_Wynkoop_Henry_1737","W000783","Wynkoop","Henry","m","02mar1737",NA,NA,"Q5730595","Henry Wynkoop",NA,NA
"US_Dickinson_Philemon_1739","D000324","Dickinson","Philemon","m","05apr1739",NA,NA,"Q2702466","Philemon Dickinson",NA,NA
"US_Walker_John_1744","W000059","Walker","John","m","13feb1744",NA,NA,"Q450549","John Walker (Virginia politician)",NA,NA
"US_Ashe_John_9999-1","A000307","Ashe","John","m",NA,NA,NA,"Q1699261","John Baptist Ashe",NA,NA
"US_Barnwell_Robert_1761","B000167","Barnwell","Robert","m","21dec1761",NA,NA,"Q2156471","Robert Barnwell",NA,NA
