"parliament_id","snapshot_day","pers_id","parliament_size"
"NL_NT-TK_1901",1901-09-18,"NL_baronMackay_AEneas_1838",100
"NL_NT-TK_1901",1901-09-18,"NL_baronMichiels_Louis_1855",100
"NL_NT-TK_1901",1901-09-18,"NL_baronvanDedem_Alexander_1838",100
"NL_NT-TK_1901",1901-09-18,"NL_baronvanderBorch_Allard_1842",100
"NL_NT-TK_1901",1901-09-18,"NL_baronvanHeemstra_Schelto_1842",100
"NL_NT-TK_1901",1901-09-18,"NL_baronvanWassenaer_Otto_1856",100
"NL_NT-TK_1901",1901-09-18,"NL_Bolsius_Frans_1869",100
"NL_NT-TK_1901",1901-09-18,"NL_Bos_Dirk_1862",100
"NL_NT-TK_1901",1901-09-18,"NL_Brummelkamp_Anthony_1839",100
"NL_NT-TK_1901",1901-09-18,"NL_Conrad_Jan_1825",100
"NL_NT-TK_1901",1901-09-18,"NL_Cremer_Jacob_1847",100
"NL_NT-TK_1901",1901-09-18,"NL_deBoer_Klaas_1852",100
"NL_NT-TK_1901",1901-09-18,"NL_deKlerk_Dirk_1852",100
"NL_NT-TK_1901",1901-09-18,"NL_denHertog_Cornelis_1846",100
"NL_NT-TK_1901",1901-09-18,"NL_denTex_Cornelis_1855",100
"NL_NT-TK_1901",1901-09-18,"NL_deRam_Lambert_1842",100
"NL_NT-TK_1901",1901-09-18,"NL_deRas_Martin_1847",100
"NL_NT-TK_1901",1901-09-18,"NL_deSavornin_Alexander_1837",100
"NL_NT-TK_1901",1901-09-18,"NL_deVisser_Johannes_1857",100
"NL_NT-TK_1901",1901-09-18,"NL_deWaal_Jan_1852",100
"NL_NT-TK_1901",1901-09-18,"NL_Drucker_Hendrik_1857",100
"NL_NT-TK_1901",1901-09-18,"NL_Duymaer_Lodewijk_1865",100
"NL_NT-TK_1901",1901-09-18,"NL_Ferf_Petrus_1854",100
"NL_NT-TK_1901",1901-09-18,"NL_Fock_Dirk_1858",100
"NL_NT-TK_1901",1901-09-18,"NL_Fokker_Eduard_1849",100
"NL_NT-TK_1901",1901-09-18,"NL_Friesen_Wilhelmus_1846",100
"NL_NT-TK_1901",1901-09-18,"NL_Fruytier_Petrus_1852",100
