"parliament_id","snapshot_day","pers_id","parliament_size"
"NO_NT_1916",1916-01-11,"NO_Nygaardsvold_Johan_1879",123
"NO_NT_1919",1919-01-11,"NO_Djupvik_Anton-Olai-Normann-Ingebrigtsen_1881",126
"NO_NT_1919",1919-01-11,"NO_Hambro_Carl-Joachim_1885",126
"NO_NT_1919",1919-01-11,"NO_Nygaardsvold_Johan_1879",126
"NO_NT_1922",1922-01-11,"NO_Alvestad_Anton-Ludvik_1883",150
"NO_NT_1922",1922-01-11,"NO_Hambro_Carl-Joachim_1885",150
"NO_NT_1922",1922-01-11,"NO_Ingebrigtsen_Aldor_1888",150
"NO_NT_1922",1922-01-11,"NO_Kirkeby-Garstad_Ivar-Larsen_1877",150
"NO_NT_1922",1922-01-11,"NO_Monsen_Fredrik_1878",150
"NO_NT_1922",1922-01-11,"NO_Moseid_Gabriel-Endresen_1882",150
"NO_NT_1922",1922-01-11,"NO_Nygaardsvold_Johan_1879",150
"NO_NT_1922",1922-01-11,"NO_Stoestad_Sverre-Kornelius-Eilertsen_1887",150
"NO_NT_1925",1925-01-11,"NO_Alvestad_Anton-Ludvik_1883",150
"NO_NT_1925",1925-01-11,"NO_Djupvik_Anton-Olai-Normann-Ingebrigtsen_1881",150
"NO_NT_1925",1925-01-11,"NO_Hambro_Carl-Joachim_1885",150
"NO_NT_1925",1925-01-11,"NO_Ingebrigtsen_Aldor_1888",150
"NO_NT_1925",1925-01-11,"NO_Kirkeby-Garstad_Ivar-Larsen_1877",150
"NO_NT_1925",1925-01-11,"NO_Lothe_Jakob-Mathias-Antonson_1881",150
"NO_NT_1925",1925-01-11,"NO_Monsen_Fredrik_1878",150
"NO_NT_1925",1925-01-11,"NO_Moseid_Gabriel-Endresen_1882",150
"NO_NT_1925",1925-01-11,"NO_Nygaardsvold_Johan_1879",150
"NO_NT_1925",1925-01-11,"NO_Petershagen_Eivind_1888",150
"NO_NT_1925",1925-01-11,"NO_Skogen_Ketil_1884",150
"NO_NT_1925",1925-01-11,"NO_Stoestad_Sverre-Kornelius-Eilertsen_1887",150
"NO_NT_1928",1928-01-11,"NO_Alvestad_Anton-Ludvik_1883",150
"NO_NT_1928",1928-01-11,"NO_Djupvik_Anton-Olai-Normann-Ingebrigtsen_1881",150
"NO_NT_1928",1928-01-11,"NO_Hambro_Carl-Joachim_1885",150
"NO_NT_1928",1928-01-11,"NO_Ingebrigtsen_Aldor_1888",150
"NO_NT_1928",1928-01-11,"NO_Kirkeby-Garstad_Ivar-Larsen_1877",150
"NO_NT_1928",1928-01-11,"NO_Mannsaaker_Jon-Joerundson_1880",150
"NO_NT_1928",1928-01-11,"NO_Moen_Lars-Magnus_1885",150
"NO_NT_1928",1928-01-11,"NO_Monsen_Fredrik_1878",150
"NO_NT_1928",1928-01-11,"NO_Moseid_Gabriel-Endresen_1882",150
"NO_NT_1928",1928-01-11,"NO_Nygaardsvold_Johan_1879",150
"NO_NT_1928",1928-01-11,"NO_Oksvik_Olav-Berntsen_1887",150
"NO_NT_1928",1928-01-11,"NO_Romundstad_Lars-Sverkeson_1885",150
"NO_NT_1928",1928-01-11,"NO_Stoestad_Sverre-Kornelius-Eilertsen_1887",150
"NO_NT_1928",1928-01-11,"NO_Versto_Olav-Aslakson_1892",150
"NO_NT_1928",1928-01-11,"NO_Wiik_Johan_1885",150
"NO_NT_1931",1931-01-11,"NO_Alvestad_Anton-Ludvik_1883",150
"NO_NT_1931",1931-01-11,"NO_Andraa_Jon_1888",150
"NO_NT_1931",1931-01-11,"NO_Djupvik_Anton-Olai-Normann-Ingebrigtsen_1881",150
"NO_NT_1931",1931-01-11,"NO_Haavardstad_Torvald_1893",150
"NO_NT_1931",1931-01-11,"NO_Hambro_Carl-Joachim_1885",150
"NO_NT_1931",1931-01-11,"NO_Ingebrigtsen_Aldor_1888",150
"NO_NT_1931",1931-01-11,"NO_Kirkeby-Garstad_Ivar-Larsen_1877",150
"NO_NT_1931",1931-01-11,"NO_Lothe_Jakob-Mathias-Antonson_1881",150
"NO_NT_1931",1931-01-11,"NO_Mannsaaker_Jon-Joerundson_1880",150
"NO_NT_1931",1931-01-11,"NO_Moen_Lars-Magnus_1885",150
"NO_NT_1931",1931-01-11,"NO_Monsen_Fredrik_1878",150
"NO_NT_1931",1931-01-11,"NO_Moseid_Gabriel-Endresen_1882",150
"NO_NT_1931",1931-01-11,"NO_Nygaardsvold_Johan_1879",150
"NO_NT_1931",1931-01-11,"NO_Oksvik_Olav-Berntsen_1887",150
"NO_NT_1931",1931-01-11,"NO_Romundstad_Lars-Sverkeson_1885",150
"NO_NT_1931",1931-01-11,"NO_Stoestad_Sverre-Kornelius-Eilertsen_1887",150
"NO_NT_1931",1931-01-11,"NO_Versto_Olav-Aslakson_1892",150
"NO_NT_1931",1931-01-11,"NO_Vinje_Torkell_1879",150
"NO_NT_1931",1931-01-11,"NO_Wiik_Johan_1885",150
"NO_NT_1934",1934-01-11,"NO_Alvestad_Anton-Ludvik_1883",150
"NO_NT_1934",1934-01-11,"NO_Andraa_Jon_1888",150
"NO_NT_1934",1934-01-11,"NO_Haavardstad_Torvald_1893",150
"NO_NT_1934",1934-01-11,"NO_Hambro_Carl-Joachim_1885",150
"NO_NT_1934",1934-01-11,"NO_Hognestad_Ivar-Kristiansen_1888",150
"NO_NT_1934",1934-01-11,"NO_Ingebrigtsen_Aldor_1888",150
"NO_NT_1934",1934-01-11,"NO_Kirkeby-Garstad_Ivar-Larsen_1877",150
"NO_NT_1934",1934-01-11,"NO_Korslund_Bernt_1889",150
"NO_NT_1934",1934-01-11,"NO_Lavik_Nils-Andresson_1884",150
"NO_NT_1934",1934-01-11,"NO_Lothe_Jakob-Mathias-Antonson_1881",150
"NO_NT_1934",1934-01-11,"NO_Moen_Lars-Magnus_1885",150
"NO_NT_1934",1934-01-11,"NO_Monsen_Fredrik_1878",150
"NO_NT_1934",1934-01-11,"NO_Moseid_Gabriel-Endresen_1882",150
"NO_NT_1934",1934-01-11,"NO_Nielsen_Sven_1883",150
"NO_NT_1934",1934-01-11,"NO_Nygaardsvold_Johan_1879",150
"NO_NT_1934",1934-01-11,"NO_Oksvik_Olav-Berntsen_1887",150
"NO_NT_1934",1934-01-11,"NO_Olsen_Ulrik_1885",150
"NO_NT_1934",1934-01-11,"NO_Romundstad_Lars-Sverkeson_1885",150
"NO_NT_1934",1934-01-11,"NO_Skarholt_Amund-Rasmussen_1892",150
"NO_NT_1934",1934-01-11,"NO_Smeby_Martin_1891",150
"NO_NT_1934",1934-01-11,"NO_Steffensen_Jens-Olai_1891",150
"NO_NT_1934",1934-01-11,"NO_Stoestad_Sverre-Kornelius-Eilertsen_1887",150
"NO_NT_1934",1934-01-11,"NO_Traedal_Nils_1879",150
"NO_NT_1934",1934-01-11,"NO_Versto_Olav-Aslakson_1892",150
"NO_NT_1934",1934-01-11,"NO_Vinje_Torkell_1879",150
"NO_NT_1934",1934-01-11,"NO_Wiik_Johan_1885",150
"NO_NT_1937",1937-01-11,"NO_Alsvik_Peder_1882",150
"NO_NT_1937",1937-01-11,"NO_Andraa_Jon_1888",150
"NO_NT_1937",1937-01-11,"NO_Groenland_Laurits_1887",150
"NO_NT_1937",1937-01-11,"NO_Haavardstad_Torvald_1893",150
"NO_NT_1937",1937-01-11,"NO_Hambro_Carl-Joachim_1885",150
"NO_NT_1937",1937-01-11,"NO_Hognestad_Ivar-Kristiansen_1888",150
"NO_NT_1937",1937-01-11,"NO_Ingebrigtsen_Aldor_1888",150
"NO_NT_1937",1937-01-11,"NO_Johansen_Magnus_1886",150
"NO_NT_1937",1937-01-11,"NO_Kirkeby-Garstad_Ivar-Larsen_1877",150
"NO_NT_1937",1937-01-11,"NO_Kjoes_Alv_1894",150
"NO_NT_1937",1937-01-11,"NO_Knudsen_Konrad-Gustav_1890",150
"NO_NT_1937",1937-01-11,"NO_Korslund_Bernt_1889",150
"NO_NT_1937",1937-01-11,"NO_Kulien_Aasmund_1893",150
"NO_NT_1937",1937-01-11,"NO_Lavik_Nils-Andresson_1884",150
"NO_NT_1937",1937-01-11,"NO_Lie_Trygve_1896",150
"NO_NT_1937",1937-01-11,"NO_Lothe_Jakob-Mathias-Antonson_1881",150
"NO_NT_1937",1937-01-11,"NO_Meisdalshagen_Olav_1903",150
"NO_NT_1937",1937-01-11,"NO_Moen_Lars-Magnus_1885",150
"NO_NT_1937",1937-01-11,"NO_Monsen_Fredrik_1878",150
"NO_NT_1937",1937-01-11,"NO_Moseid_Gabriel-Endresen_1882",150
"NO_NT_1937",1937-01-11,"NO_Natvig-Pedersen_Gustav_1893",150
"NO_NT_1937",1937-01-11,"NO_Nielsen_Sven_1883",150
"NO_NT_1937",1937-01-11,"NO_Nilsen_Alfred-Sigurd_1891",150
"NO_NT_1937",1937-01-11,"NO_Nygaardsvold_Johan_1879",150
"NO_NT_1937",1937-01-11,"NO_Oeraker_Svein-Olsen_1886",150
"NO_NT_1937",1937-01-11,"NO_Oksvik_Olav-Berntsen_1887",150
"NO_NT_1937",1937-01-11,"NO_Olsen_Ulrik_1885",150
"NO_NT_1937",1937-01-11,"NO_Romundstad_Lars-Sverkeson_1885",150
"NO_NT_1937",1937-01-11,"NO_Skarholt_Amund-Rasmussen_1892",150
"NO_NT_1937",1937-01-11,"NO_Smeby_Martin_1891",150
"NO_NT_1937",1937-01-11,"NO_Solberg_John-August_1881",150
"NO_NT_1937",1937-01-11,"NO_Steffensen_Jens-Olai_1891",150
"NO_NT_1937",1937-01-11,"NO_Stoestad_Sverre-Kornelius-Eilertsen_1887",150
"NO_NT_1937",1937-01-11,"NO_Strand_Knut-Olaf-Andreasson_1887",150
"NO_NT_1937",1937-01-11,"NO_Svarstad_Hans_1883",150
"NO_NT_1937",1937-01-11,"NO_Sverdrup_Cato-Andreas_1896",150
"NO_NT_1937",1937-01-11,"NO_Torp_Harald-Houge_1890",150
"NO_NT_1937",1937-01-11,"NO_Torp_Oscar-Fredrik_1893",150
"NO_NT_1937",1937-01-11,"NO_Versto_Olav-Aslakson_1892",150
"NO_NT_1937",1937-01-11,"NO_Vinje_Torkell_1879",150
"NO_NT_1937",1937-01-11,"NO_Wiik_Johan_1885",150
"NO_NT_1937",1937-01-11,"NO_Wika_Haakon-Olsen_1899",150
"NO_NT_1937",1937-01-11,"NO_Wright_Carl-August-Petersen_1893",150
"NO_NT_1945",1945-12-04,"NO_Alsvik_Peder_1882",150
"NO_NT_1945",1945-12-04,"NO_Andersen_Johan_1902",150
"NO_NT_1945",1945-12-04,"NO_Andraa_Jon_1888",150
"NO_NT_1945",1945-12-04,"NO_Arntzen_Arthur_1906",150
"NO_NT_1945",1945-12-04,"NO_Bae_Ivar_1897",150
"NO_NT_1945",1945-12-04,"NO_Benum_Olav_1897",150
"NO_NT_1945",1945-12-04,"NO_Berg_Kittill-Kristoffersen_1903",150
"NO_NT_1945",1945-12-04,"NO_Berntsen_Parelius-Hjalmar-Bang_1910",150
"NO_NT_1945",1945-12-04,"NO_Berthelsen_Bernhard_1897",150
"NO_NT_1945",1945-12-04,"NO_Bettum_Frithjof_1900",150
"NO_NT_1945",1945-12-04,"NO_Boeyum_Anders-Johanneson_1890",150
"NO_NT_1945",1945-12-04,"NO_Bredal_Wilhelm-Engel_1907",150
"NO_NT_1945",1945-12-04,"NO_Breie_Lars_1907",150
"NO_NT_1945",1945-12-04,"NO_Breivoll_Haakon-Martin_1886",150
"NO_NT_1945",1945-12-04,"NO_Broch_Theodor_1904",150
"NO_NT_1945",1945-12-04,"NO_Burull_Leif-Bjorholt_1895",150
"NO_NT_1945",1945-12-04,"NO_Dahl_Joachim_1892",150
"NO_NT_1945",1945-12-04,"NO_Dahloe_Paul-Martin_1885",150
"NO_NT_1945",1945-12-04,"NO_Dalland_Randulf_1900",150
