"res_entry_id","political_function"
"CH_Abate_Fabio_1966__1","NT_LE-UH_T3_NA_01"
"CH_Abate_Fabio_1966__2","NT_LE-LH_T3_NA_01"
"CH_Abegg_Alfred_1914__1","NT_LE-LH_T3_NA_01"
"CH_Ackermann_Alfred_1907__1","NT_LE-LH_T3_NA_01"
"CH_Ackermann_Joseph_1901__1","NT_LE-LH_T3_NA_01"
"CH_Ackermann_Walter_1890__1","NT_LE-UH_T3_NA_01"
"CH_Addor_Jean_1964__1","NT_LE-LH_T3_NA_01"
"CH_Addor_Jules_1894__1","NT_LE-LH_T3_NA_01"
"CH_Aebersold_Ernst_1887__1","NT_LE-LH_T3_NA_01"
"CH_Aebi_Andreas_1958__1","NT_LE-LH_T3_NA_01"
"CH_Aebischer_Matthias_1967__1","NT_LE-LH_T3_NA_01"
"CH_Aebischer_Max_1914__1","NT_LE-LH_T3_NA_01"
"CH_Aebischer_Paul_1908__1","NT_LE-LH_T3_NA_01"
"CH_Aeby_Pierre_1884__1","NT_LE-LH_T3_NA_01"
"CH_Aeby_Pierre_1950__1","NT_LE-UH_T3_NA_01"
"CH_Aeppli_Regine_1952__1","NT_LE-LH_T3_NA_01"
"CH_Aeschbach_Adolf_1888__1","NT_LE-LH_T3_NA_01"
"CH_Aeschbacher_Ruedi_1941__1","NT_LE-LH_T3_NA_01"
"CH_Aeschi_Thomas_1979__1","NT_LE-LH_T3_NA_01"
"CH_Affolter_Alfred_1941__1","NT_LE-LH_T3_NA_01"
"CH_Affolter_Max_1923__1","NT_LE-UH_T3_NA_01"
"CH_Agostinetti_Emilio_1912__1","NT_LE-LH_T3_NA_01"
"CH_Aguet_Pierre_1938__1","NT_LE-LH_T3_NA_01"
"CH_Agustoni_Mario_1902__1","NT_LE-LH_T3_NA_01"
"CH_Agustoni_Mario_1902__2","NT_LE-LH_T3_NA_01"
"CH_Akeret_Erwin_1915__1","NT_LE-LH_T3_NA_01"
"CH_Albrecht_August_1907__1","NT_LE-LH_T3_NA_01"
"CH_Albrecht_Hans_1909__1","NT_LE-LH_T3_NA_01"
"CH_Albrecht_Luigi_1889__1","NT_LE-LH_T3_NA_01"
"CH_Alder_Claudius_1938__1","NT_LE-LH_T3_NA_01"
"CH_Alder_Fredi_1943__1","NT_LE-LH_T3_NA_01"
"CH_Aliesch_Peter_1946__1","NT_LE-LH_T3_NA_01"
"CH_Allemann_Evi_1978__1","NT_LE-LH_T3_NA_01"
"CH_Allemann_Werner_1902__1","NT_LE-LH_T3_NA_01"
"CH_Allenspach_Heinz_1928__1","NT_LE-LH_T3_NA_01"
"CH_Allgoewer_Walter_1912__1","NT_LE-LH_T3_NA_01"
"CH_Allgoewer_Werner_1879__1","NT_LE-LH_T3_NA_01"
"CH_Altherr_Hans_1950__1","NT_LE-UH_T3_NA_01"
"CH_Altwegg_Paul_1884__1","NT_LE-UH_T3_NA_01"
"CH_Amacker_Kathrin_1962__1","NT_LE-LH_T3_NA_01"
"CH_Amarelle_Cesla_1973__1","NT_LE-LH_T3_NA_01"
"CH_Amaudruz_Celine_1979__1","NT_LE-LH_T3_NA_01"
"CH_Amgwerd_Madeleine_1946__1","NT_LE-UH_T3_NA_01"
"CH_Amherd_Viola_1962__1","NT_LE-LH_T3_NA_01"
"CH_Ammann_Regina_1963__1","NT_LE-LH_T3_NA_01"
"CH_Ammann_Thomas_1964__1","NT_LE-LH_T3_NA_01"
"CH_Ammann_Ulrich_1921__1","NT_LE-LH_T3_NA_01"
"CH_Ammann_Walter_1946__1","NT_LE-LH_T3_NA_01"
"CH_Amstad_Eduard_1922__1","NT_LE-UH_T3_NA_01"
"CH_Amstutz_Adrian_1953__1","NT_LE-UH_T3_NA_01"
"CH_Amstutz_Adrian_1953__2","NT_LE-LH_T3_NA_01"
"CH_Amstutz_Adrian_1953__3","NT_LE-LH_T3_NA_01"
"CH_Anderegg_Emil_1903__1","NT_LE-LH_T3_NA_01"
"CH_Andermatt_Othmar_1922__1","NT_LE-UH_T3_NA_01"
"CH_Anet_Henri_1895__1","NT_LE-LH_T3_NA_01"
"CH_Antille_Charles_1944__1","NT_LE-LH_T3_NA_01"
"CH_Antille_Rosemarie_1949__1","NT_LE-LH_T3_NA_01"
"CH_Antognini_Antonio_1893__1","NT_LE-UH_T3_NA_01"
"CH_Antognini_Antonio_1893__2","NT_LE-LH_T3_NA_01"
"CH_Aregger_Manfred_1931__1","NT_LE-LH_T3_NA_01"
"CH_Arni_Willy_1899__1","NT_LE-LH_T3_NA_01"
"CH_Arnold_Beat_1978__1","NT_LE-LH_T3_NA_01"
"CH_Arnold_Emil_1897__1","NT_LE-LH_T3_NA_01"
"CH_Arnold_Emil_1897__2","NT_LE-LH_T3_NA_01"
"CH_Arnold_Franz_1897__1","NT_LE-LH_T3_NA_01"
"CH_Arnold_Leo_1923__1","NT_LE-UH_T3_NA_01"
"CH_Arnold_Max_1909__1","NT_LE-LH_T3_NA_01"
"CH_Arnold_Max_1909__2","NT_LE-LH_T3_NA_01"
"CH_Arslan_Sibel_1980__1","NT_LE-LH_T3_NA_01"
"CH_Aubert_Jean_1931__1","NT_LE-UH_T3_NA_01"
"CH_Aubert_Jean_1931__2","NT_LE-LH_T3_NA_01"
"CH_Aubert_Josiane_1949__1","NT_LE-LH_T3_NA_01"
"CH_Aubert_Pierre_1927__1","NT_LE-UH_T3_NA_01"
"CH_Aubry_Genevieve_1928__1","NT_LE-LH_T3_NA_01"
"CH_Auer_Felix_1925__1","NT_LE-LH_T3_NA_01"
"CH_aufderMaur_Dominik_1896__1","NT_LE-UH_T3_NA_01"
"CH_Augsburger_Walter_1922__1","NT_LE-LH_T3_NA_01"
"CH_Auroi_Andre_1919__1","NT_LE-LH_T3_NA_01"
"CH_Baader_Caspar_1953__1","NT_LE-LH_T3_NA_01"
"CH_Babel_Jean_1921__1","NT_LE-LH_T3_NA_01"
"CH_Bacciarini_Alma_1921__1","NT_LE-LH_T3_NA_01"
"CH_Bachmann_Arthur_1922__1","NT_LE-LH_T3_NA_01"
"CH_Bachmann_Ernst_1912__1","NT_LE-UH_T3_NA_01"
"CH_Bachmann_Ernst_1912__2","NT_LE-LH_T3_NA_01"
"CH_Bachmann_Karl_1915__1","NT_LE-LH_T3_NA_01"
"CH_Bader_Elvira_1955__1","NT_LE-LH_T3_NA_01"
"CH_Badoux_Henri_1909__1","NT_LE-LH_T3_NA_01"
"CH_Badran_Jacqueline_1961__1","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Gilbert_1921__1","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Jakob_1905__1","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Jakob_1905__2","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Kurt_1918__1","NT_LE-UH_T3_NA_01"
"CH_Baenziger_Marlies_1960__1","NT_LE-LH_T3_NA_01"
"CH_Baer_Rosmarie_1947__1","NT_LE-LH_T3_NA_01"
"CH_Baerlocher_Remigius_1915__1","NT_LE-LH_T3_NA_01"
"CH_Baerlocher_Thomas_1956__1","NT_LE-LH_T3_NA_01"
"CH_Baertschi_Ernst_1882__1","NT_LE-LH_T3_NA_01"
